Time,Var1,Var2
79.9000,-1.1447,-0.1447
80.0000,-1.1447,-0.1447
80.1000,-1.1447,-0.1447
80.2000,-1.1447,-0.1447
80.3000,-1.1447,-0.1447
80.4000,-1.1447,-0.1447
80.5000,-1.1447,-0.1447
80.6000,-1.1447,-0.1447
80.7000,-1.1447,-0.1447
80.8000,-1.1447,-0.1447
80.9000,-1.1447,-0.1447
81.0000,-1.1447,-0.1447
81.1000,-1.1447,-0.1447
81.2000,-1.1447,-0.1447
81.3000,-1.1447,-0.1447
81.4000,-1.1447,-0.1447
81.5000,-1.1447,-0.1447
81.6000,-1.1447,-0.1447
81.7000,-1.1447,-0.1447
81.8000,-1.1447,-0.1447
81.9000,-1.1447,-0.1447
82.0000,-1.1447,-0.1447
82.1000,-1.1447,-0.1447
82.2000,-1.1447,-0.1447
82.3000,-1.1447,-0.1447
82.4000,-1.1447,-0.1447
82.5000,-1.1447,-0.1447
82.6000,-1.1447,-0.1447
82.7000,-1.1447,-0.1447
82.8000,-1.1447,-0.1447
82.9000,-1.1447,-0.1447
83.0000,-1.1447,-0.1447
